dataset,model,fold,rmse,r2,fit_time_sec
Diabetes,MLP,5,53.37583751156268,0.4496125415834633,0.03514814376831055
Diabetes,MLP,6,55.46943168621207,0.48438549588304436,0.03462409973144531
Diabetes,MLP,7,61.77332597615206,0.42333829217556807,0.017939090728759766
Diabetes,MLP,8,53.466720061413255,0.5276238418768142,0.019279956817626953
Diabetes,MLP,9,55.580147000040824,0.4615227522812453,0.027949094772338867
Diabetes,MLP,10,58.63762646113992,0.45209270487762965,0.07156109809875488
Diabetes,MLP,11,48.48489080185655,0.5205033917228248,0.023828983306884766
Diabetes,MLP,12,61.60698768537967,0.39825591566382157,0.0197451114654541
Diabetes,MLP,13,58.925637837902165,0.3914018311479306,0.022377967834472656
Diabetes,MLP,14,54.16863660485191,0.5335412766072918,0.03785872459411621
California Housing,Dummy,0,1.1879619990576638,-0.00045896046991944495,0.0003662109375
California Housing,Dummy,1,1.1421774791613555,-1.154110035095357e-06,0.00031685829162597656
California Housing,Dummy,2,1.1652265108426019,-0.00010251012853834673,0.00029969215393066406
California Housing,Dummy,3,1.1415267759150387,-0.0003416410881287302,0.000293731689453125
California Housing,Dummy,4,1.1677567948781744,-5.519706080958642e-05,0.0002968311309814453
California Housing,Dummy,5,1.137354038386539,-0.00017631413954322106,0.0003008842468261719
California Housing,Dummy,6,1.1792768466078702,-6.463475566009791e-05,0.0002942085266113281
California Housing,Dummy,7,1.1969480045559904,-0.0034917273362922163,0.0002999305725097656
California Housing,Dummy,8,1.1429291791279852,-0.0010803897405251561,0.00029277801513671875
California Housing,Dummy,9,1.148604432827197,-0.0005709789009651356,0.0002906322479248047
California Housing,Dummy,10,1.1309893308236825,-0.0024854363131054935,0.0002942085266113281
California Housing,Dummy,11,1.183990527745639,-0.005609039811945049,0.00029397010803222656
California Housing,Dummy,12,1.1878986760218209,-0.0005297242481474562,0.00029397010803222656
California Housing,Dummy,13,1.1503112919047016,-7.224637471336948e-05,0.0002899169921875
California Housing,Dummy,14,1.1531272361423648,-0.0018586144962329243,0.0002930164337158203
California Housing,Ridge,0,0.7862066076151374,0.5618048562251925,0.001466989517211914
California Housing,Ridge,1,0.7021412292689271,0.6220953234667881,0.0013918876647949219
California Housing,Ridge,2,0.7433271906903515,0.5930099027550826,0.001377105712890625
California Housing,Ridge,3,0.8022827751947372,0.5058815413562823,0.0013709068298339844
California Housing,Ridge,4,0.7491190529767591,0.588451663047264,0.0013709068298339844
California Housing,Ridge,5,0.795664632139531,0.5105083079455822,0.001425027847290039
California Housing,Ridge,6,0.7269360951410209,0.6199952778990112,0.0014429092407226562
California Housing,Ridge,7,0.7475528211417694,0.6085764098180855,0.0016360282897949219
California Housing,Ridge,8,0.8647483945847241,0.42692713915854286,0.0016369819641113281
California Housing,Ridge,9,0.7338838718673261,0.5915286381568774,0.0017402172088623047
California Housing,Ridge,10,0.7360126114383375,0.5754473383617241,0.0014798641204833984
California Housing,Ridge,11,0.7526654748539102,0.5936159040628664,0.0015060901641845703
California Housing,Ridge,12,0.7197284229505362,0.6327105054794748,0.0014328956604003906
California Housing,Ridge,13,0.7801797126944648,0.5399660164036603,0.0014050006866455078
California Housing,Ridge,14,0.7479232021981802,0.5785306580436875,0.0013861656188964844
California Housing,Decision Tree,0,0.7868997468248818,0.5610318682579727,0.006994009017944336
California Housing,Decision Tree,1,0.7156417806843681,0.607423145350458,0.006961822509765625
California Housing,Decision Tree,2,0.7819640374672489,0.5496010556450054,0.006876945495605469
California Housing,Decision Tree,3,0.7577551593613188,0.5592077543327997,0.006880998611450195
California Housing,Decision Tree,4,0.7645635770315051,0.5713070170666363,0.006880044937133789
California Housing,Decision Tree,5,0.7750567094523384,0.5355358718228871,0.006873130798339844
California Housing,Decision Tree,6,0.7678181737270595,0.5760513071464106,0.006839275360107422
California Housing,Decision Tree,7,0.7730035728564708,0.5814703512457275,0.006904125213623047
