model,complexity_label,complexity,n_train,sigma,n_repeats,fit_time_sec,bias2,bias2_raw,bias2_mc_correction,bias2_ci_low,bias2_ci_high,variance,variance_ci_low,variance_ci_high,noise,expected_mse,empirical_mse,decomposition_gap
Decision Tree,max_depth,14,160,0.35,50,0.035413082980085164,2.9731160518966897e-05,0.002577513706003843,0.002547782545484876,-0.0013155907876061103,0.001375053108644044,0.1273891272742438,0.12296147034693672,0.1318167842015509,0.12249999999999998,0.24991885843476275,0.24804030233396665,-0.0018785561007960971
KNN,n_neighbors,1,160,0.35,50,0.05184154098969884,4.84447611175361e-05,0.002602150884351589,0.002553706123234053,-0.0012955367604397857,0.001392426282674858,0.12768530616170265,0.12327752382316298,0.13209308850024232,0.12249999999999998,0.2502337509228202,0.24854051451469886,-0.0016932364081213291
KNN,n_neighbors,2,160,0.35,50,0.05314883298706263,0.00026154175595223257,0.0015257376410176577,0.001264195885065425,-0.000549339227751771,0.0010724227396562362,0.06320979425327125,0.060418664395077204,0.0660009241114653,0.12249999999999998,0.18597133600922347,0.18469950625814185,-0.0012718297510816157
KNN,n_neighbors,3,160,0.35,50,0.04709237499628216,0.000322869337644879,0.0011700663117078527,0.0008471969740629737,-0.00029319667577870493,0.0009389353510684629,0.042359848703148684,0.040321028414168916,0.04439866899212845,0.12249999999999998,0.16518271804079354,0.164289378025874,-0.0008933400149195303
KNN,n_neighbors,5,160,0.35,50,0.04689354100264609,0.0008991238968909632,0.0014363064099953285,0.0005371825131043653,0.0003496761242262757,0.0014485716695556508,0.026859125655218263,0.025303662466545345,0.02841458884389118,0.12249999999999998,0.1502582495521092,0.148514905221418,-0.0017433443306912044
KNN,n_neighbors,8,160,0.35,50,0.048045083007309586,0.0022900934129733205,0.0026656107495470144,0.00037551733657369385,0.0016411872159367313,0.0029389996100099096,0.018775866828684692,0.017330529728375142,0.020221203928994243,0.12249999999999998,0.143565960241658,0.14026285235547145,-0.0033031078861865404
KNN,n_neighbors,12,160,0.35,50,0.04945087499800138,0.005519436864087949,0.005814619137776725,0.00029518227368877646,0.004572690349892345,0.006466183378283552,0.014759113684438822,0.013498581277968422,0.016019646090909223,0.12249999999999998,0.14277855054852676,0.13830484351301112,-0.004473707035515639
KNN,n_neighbors,20,160,0.35,50,0.05592554097529501,0.019566230197018045,0.01982870559172255,0.00026247539470450624,0.017597631340964003,0.021534829053072087,0.013123769735225313,0.011842674894067956,0.01440486457638267,0.12249999999999998,0.15518999993224333,0.1501469776528678,-0.005043022279375531
KNN,n_neighbors,35,160,0.35,50,0.06078624998917803,0.07262706012798384,0.07289340370263546,0.00026634357465162316,0.06811718743468187,0.07713693282128581,0.013317178732581158,0.011269044062744234,0.015365313402418082,0.12249999999999998,0.20844423886056498,0.20287058713696168,-0.005573651723603301
KNN,n_neighbors,60,160,0.35,50,0.07171558300615288,0.3896097121202072,0.38994715988894163,0.0003374477687344478,0.3697034446586588,0.40951597958175556,0.01687238843672239,0.013075431786455895,0.020669345086988884,0.12249999999999998,0.5289821005569295,0.5233401713592718,-0.0056419291976577135
